Title,Year,Genre,Plot,Kind
Salo,2011,"Drama, Romance","Rene (Paolo Rivero) is supporting his ailing grandmother by running the family business. His grandmother's friend is constantly trying to set him up with various women, hoping that he'll finally settle down. What she doesn't know is that Rene is gay and that he's in love with his driver, Levi (Kristoffer King). Rene is far too shy and reserved to ever admit his love, but one weekend, his inhibitions go away as he takes a trip to the seaside with his beloved driver, who might be hiding a secret of his own. When they return to the city, neither is prepared to deal with the consequences of his actions.Written byK. D. H.",video movie
"Kalel, 15",2019,Drama,"The film addresses several issues at the same time: the stigma surrounding HIV, the carelessness of the youth in the Philippines when it comes to sex, the heavy-weight consequences of growing up with a troubled parent and the Christian double moral.",movie
Descendants of the Sun,2020,Drama,"From the very beginning, their relationship was off to a rocky start. As part of the Armed Forces of the Philippines Special Forces, Lucas is always sent off to various missions that last from days to weeks. And with shifts as long and as busy as Maxine's, the right timing was never on their side. She tries to distance herself from him and his dangerous job, but instead finds herself unable to resist him. One disaster after another befalls upon them, but their love stands stronger than anything that comes their way.",tv series
Nightshift,2020,Horror,A young woman is stuck in the morgue - on her first day - working as an assistant to a pathologist when the dead begin to manifest signs of resurrection.,movie
Demon of Paradise,1987,"Horror, Thriller","Hunters become the hunted when illegal dynamite disturbs the ageold slumber of a carnivorous lizardman. Resort owner Angela, joins forces with Sheriff Keefer to save tourists from the beast's path of death.Written byConcorde - New Horizons (with permission).",movie
Fan Girl,2020,Drama,"Fan Girl is about a fanatical Paulo Avelino fan (newcomer Charlie Dizon) who meets her onscreen idol (played by himself) in less than ideal circumstances after stowing away in the back of his pickup truck. As you'd expect, the young stan finds out he isn't quite the perfect man when nobody's watching.",movie
Elise,2019,Romance,Bert is quick-witted but an emotional guy who falls in love with Elise who is a strong and independent woman. They separated to pursue their studies only to meet again when they grow up.,movie
Nene,1998,Drama,,movie
Nilalang,2015,"Action, Crime, Horror","NBI special crimes division agent Tony (Cesar Montano) encounters an evil entity which is bent on killing and torturing beautiful women, one of which was his girlfriend, years after he have thought to have killed the malevolent spirit. People close to Tony is in danger including his partner Jane (Meg Imperial), who has romantic interest towards him with everyone in the agency aware of this fact except for Tony. The spirit, who has killed many people in Japan, is thought to be targeting women from a certain clan of samurai. In Manila, Miyuki (Maria Ozawa) takes care of the family business while her younger sister is taking care of their aging father. Miyuki is later forced to help in the investigation regarding the murders after Akane went missing and their father was found dead to put of stop to the evil entity's killing spree.",movie
Aswang,2019,Documentary,"When Rodrigo Duterte is voted president of the Philippines, he sets in motion a machinery of death to execute suspected drug dealers, users, and small time street criminals. ASWANG follows people whose lives entwine with the growing violence.",movie
I Do? I Die! (D'yos ko day),1997,Comedy,,movie
Death Force,1978,"Action, Crime, Drama","After being left for dead, the man is rescued by two Japanese soldiers, living on a remote island, who teach him the ways of the samurai. Upon returning to the USA, he quickly exacts a bloody revenge on his tormentors and reunite with his wife and son.",movie
Liberated,2003,Drama,A sexually liberated young woman falls in love with the beau of her morally-inclined best friend.,movie
Hindi ko kayang iwan ka,2018,Drama,"'Hindi Ko Kayang Iwan Ka' follows the life of Thea Balagtas. After marrying Marco and raising their fraternal twins together, her blissful life shatters when she tests positive for HIV. Without knowing who she got it from, Marco is led to believe that she cheated on him and files for legal separation, taking their kids with him. Her disease worsens and she loses her will to live. But when she unexpectedly meets her daughter a few years later, she finds it in herself to fight more than just HIV--her greatest opponent, herself.",tv series
Make It with You,2020,"Drama, Romance","Two different individuals who, despite having different priorities in life, found love in each other. But after series of encounter, they will have to decide whether it's a love worth choosing.",tv series
Goyo: Ang batang heneral,2018,"Action, Biography, History","The story of Gregorio 'Goyo' del Pilar, one of the youngest Generals during the Philippine-American War who fought in the historic Battle of Tirad Pass.",movie
First Love,2018,"Drama, Romance","In what appears to be a serendipitous encounter upon saving the life of a stranger, the calculated and reserved businessman Nick meets the impulsive and optimistic photographer Ali, who believes in destiny and carpe diem, or seizing the day. Nick, who seeks closure for his past mistakes, is drawn towards Ali's spirit and vigor. Despite living with a congenital heart disease and being on the wait-list for a heart transplant, Ali continues to be hopeful about her future. Ali challenges Nick to seize every moment of his life before it's too late. Meanwhile, Nick finds a way to give Ali a new lease on life - even if it means risking one's life and their love for each other.Written byStar Cinema",movie
Forevermore,2014,"Drama, Romance","Xander, the rebellious and irresponsible unico hijo of a hotel magnate, and the feisty and hardworking Strawberry Jam Queen of La Trinidad, Benguet, Agnes. Xander and Agnes' extraordinary relationship starts after an intoxicated Xander crash lands his parachute into a strawberry truck. To teach him a lesson, his parents made him pay for the damages he caused by making him work at the strawberry farm under the guidance of Agnes and other strawberry farmers.",tv series
She's Dating the Gangster,2014,"Comedy, Drama, Romance","It all started when 17-year-old Athena Dizon unwittingly plays a trick on resident heartthrob and bad boy, Kenji de los Reyes. All of a sudden, she finds herself pretending-unwillingly at that-to be his girlfriend to make his ex jealous. Now, not only does she have to deal with dirty looks from the girls in school who want Kenji for themselves, but her supposed boyfriend is getting on her nerves. He's hotheaded, never seems to agree with her on anything-and everything about him screams gangster.Written byAnonymous",movie
"I Love You, Hater",2018,Comedy,"Joko (Joshua Garcia) is a boy trying to help his family survive, while Zoey (Julia Barretto) is a girl hoping to prove herself to the world. Opportunity rises when Sasha (Kris Aquino) is looking to hire a new personal assistant. Just one catch - they have to compete against each other. Will their own goals prevail, or will they set aside their differences and find true happiness and love in the end?",movie
Malamaya,2019,"Drama, Romance","Malamaya is a coming-of-old age story of Nora Simeon, a middle-aged single visual artist who is beginning to feel passé. As she recaptures her prime, she finds spark with Migs, an aspiring photographer who reignites forgotten passions and elicits bursts of inspiration. As she embarks on a May-December love affair, Nora fails to notice how he invades her art and senses; and eventually, her art and body.",movie
Sana maulit muli,1995,"Drama, Romance","Agnes (Lea Salonga), a painfully shy girl, is extremely devoted and dependent on her confident and free-spirited boyfriend Jerry (Aga Muhlach), an idealistic advertising executive. Their differences strengthen their relationship. Agnes then gets petitioned by her absentee mother based in California. As Agnes flies abroad, she finds herself struggling to survive in the US. Everything seems difficult for her, especially because Jerry is not with her. Meanwhile, Jerry spends the days without Agnes guiding his career and develops another relationship with Cynthia (Cherry Pie Picache). Their long distance relationship is weakened until Agnes and Jerry fall apart. In the long run, Agnes learns to cope with the fast-paced lifestyle in the US- she gets a new place, car, and attitude. She becomes totally independent, almost emotionless. One day, Jerry is assigned to join an ad conference in New York. He pays a visit to Agnes with the hopes of winning her back. Will Jerry's visit to the United ...",movie
Through Night and Day,2018,"Comedy, Romance",Ben and Jen's relationship is put to test as they embark on a trip of a lifetime to Jen's lifelong dream destination - Iceland.,movie
Si Chedeng at si Apple,2017,Comedy,"In the wake of her husband's death, Chedeng, 66, decides to come out of the closet. Her best friend Apple, 63, beheads her live-in partner in a fit of rage. Bound by friendship, the two elderly women, together with the severed head placed inside a Louis Vuitton bag, set off an adventure to find Chedeng's ex-girlfriend.",movie
Between Maybes,2019,"Drama, Romance","Louie Puyat has been living a solitary life in Saga, Japan until has-been actress Hazel Ilagan arrives. They develop a functional relationship where Louie checks on Hazel during her vacation. Amidst the isolation, the two lost souls find comfort in each other.",movie
Unforgettable,2019,Drama,"Jasmine takes her newfound doggy friend Happy on a long journey to her sick grandmother in Baguio. The two walk an incredible distance, face all kinds of challenges, run into many strangers and help them along the way. Her grandmother had been ill once and then a dog helped her to recover - maybe this time Happy the one.Written byFAMASIYA",movie
Ben X Jim,2020,Romance,"Benjamin lives alone, with his family living in America pressuring him to move there with him. He learns his old neighbor and childhood friend, Jimson, is moving back home to spend Enhanced Quarantine with his family. BenXJim follows the story of two people who turn from strangers, to friends, to lovers, back to strangers with memories.",tv series
#ParangNormal Activity,2015,Horror,Three nerdy boys meet one pretty ghost girl. Which cause a funny-scary-adventure happenings in their lives.,tv series
Blind Side,2008,"Short, Crime, Drama","A young playboy beds his sexy officemate, only to discover she has an equally delectable younger sister. The catch: little sis just recently lost her sight (and her boyfriend) in a car crash. The upside: she walks around in the nude thinking she's all alone in the house with big sis.Written byanimal",video movie
Vince & Kath & James,2016,Romance,"Senior engineering student Vince has a crush on go-getter and fellow engineering student Kath. Just as when he's about to confess his feelings for her, his cousin and basketball varsity player James begs to build him up on Kath by pretending to be the secret admirer 'Var' through text message. As he becomes James' secret wingman, Vince struggles to restrain his own feelings for Kath. However, as Kath gets to know Vince during internship, she increasingly feels the genuine connection with him -- the same connection she had felt with 'Var'. In this young love triangle filled with filters, will the three of them ever find genuine love they deserve?Written bycharlesmagpili",movie
Kuwaresma,2019,"Horror, Thriller",A family is haunted by what appears to be the ghost of their youngest daughter.,movie
Never Not Love You,2018,"Drama, Romance",It tells the story of young lovers who tries to build a life together until career opportunities sends them to a different country where their relationship will be tested.,movie
"Norte, hangganan ng kasaysayan",2013,"Crime, Drama","The lives of three people take a turn when one of them commits a crime: Joaquin is failing miserably at providing for his family. When his loan-shark Magda gets murdered, the crime is pinned on him. Misery and solitude transform him in prison. Left to fend for the family after a serious leg injury, his wife Eliza pours all of her strength to battling with despair and eking out a living for their two children. The real perpetrator, Fabian, a hothead student who holds forth on the subject of atheism and anarchism to his long-suffering friends roams free. His disillusionment with his country-its history of revolutions marred by betrayal and crimes unpunished-drives him to the edge of sanity.Written byErasto Films",movie
Amo,2017,Crime,"Set amidst the height of the Philippine government's crackdown on illegal drugs, high school student Joseph gets tangled up in the chaotic underworld of drugs and corruption.",tv mini series
Tanging yaman,2000,"Drama, Family",The decision of three siblings to sell their ailing mother's property causes deeply burried resentment to resurface as each of them also faces difficulties within their own families.,movie
Everything About Her,2016,"Comedy, Drama","A powerful and strong-willed business magnate, played by the incomparable, multi-awarded thespian, Vilma Santos, seems to have it all--money, fame, power. When she finds out that she is gravely ill, she meets similarly strong-willed caregiver, Angel Locsin. Their relationship is further complicated by the estranged relationship that Santos shares with her own child, Xian Lim. These three main characters engage in a beautiful story of acceptance, love and forgiveness.Written byJMalvas",movie
El filibusterismo,1962,"Action, Drama","Juan Crisostomo Ibarra has changed his name and identity to a rich jeweler named Simoun. In disguise, he travels the world amassing wealth, which he intends to use to topple the corrupt and abusive regime in his native land. But Simoun's real motive is personal. He wants to rescue his beloved, Maria Clara, from the convent and avenge the death of his father. In a forest on Christmas Eve, Basilio, a medical student recognizes Simoun's true identity as the man who helped bury his mother Sisa more than ten years before, under a tree. Simoun is in the forest to retrieve the gems he buried near Sisa's grave. As the film progresses, all the secrets and intrigues are revealed, and the plotters' plan fails. A good Filipino priest throws Simoun's jewels away, thereby eliminating the greed, violence and other evils they might have provoked.Written byAti atihan - Mother of All Philippine Festivals",movie
Starting Over Again,2014,Drama,"Ten years ago, Ginny (Toni Gonzaga), an Architecture student, and Marco (Piolo Pascual), a History professor, began a one-of-a-kind and unpredictable love story. In the five years that they were together, they brought out the best in each other, which included Marco's unrealized dream of becoming a chef. Together, they worked towards their dream of opening up a restaurant, but when Ginny realized her own pursuits were different from his, she rejected his wedding proposal and left the country for a Masters degree in Architecture. At present, Ginny co-owns a one-stop Architecture and Interior Design firm specializing in Restoration. She receives an email from Marco, which was written and sent after their break-up, meant to be read four years later. It makes her feel even more regretful of leaving the love of her life. When their firm receives an offer to restore an old house into a restaurant, she is ecstatic to learn that Marco will be co-owning the restaurant. She takes this as a sign...Written byJepoy Castle",movie
"Pag oras mo, oras mo na",2000,"Action, Drama",,movie
Tong tatlong tatay kong pakitong kitong,1998,Comedy,"Orphan Jingle can't seem to find a home for herself. Hopeless with the situation, she is sent to Manila to live with three bachelors who are still awaiting their big break. When the trio accidentally pick up a bag of jewels that belong to a crime syndicate, Jingle's life is put in danger in exchange of the jewels.Written byledster",movie
Himala,1982,Drama,Elsa saw the blessed Virgin Mary who had changed her life and caused a hysteria in a poor isolated village.,movie
Cover Girl Models,1975,Thriller,"A fashion photography assignment teams three American models and inadvertently pitches them into the mystery and danger of international espionage, when an invaluable roll of microfilm secreted into one of the girls' fashion gowns, draws them into the violence and intrigue of a spy-vs-counterspy conspiracy.Written byElisar Cabrera <cabrera@easynet.co.uk>",movie
No Other Woman,2011,"Drama, Romance, Thriller","Furniture supplier Ram (Derek Ramsay) is happily married to Charmaine (Cristine Reyes). One day, Ram lands a big client, a new luxury resort. But he needs the help of Kara (Anne Curtis), the daughter of the owner of the resort, to finalize the deal. Kara's help, however, comes with a price, because she fancies Ram to be her lover. Not before long, Kara successfully seduces Ram, even though she knows about his marriage. When Charmaine learns of the affair, she finds ways to fight for her husband's waning attention.Written byledster",movie
Finding Agnes,2020,Drama,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",movie
Wild and Free,2018,Drama,Ellie and Jake are in a passionate relationship but things might turn for the worse when Jake discovers Ellie's secret.,movie
Unexpectedly Yours,2017,"Comedy, Romance",Two former high school friends Patty and Cocoy find each other thirty years later not only as organizers of their high school reunion but also as neighbors. Patty and her daughter Yanni's quiet lives are shaken up when Cocoy and his nephew Jason comes knocking on their door.Written byanonymous,movie
Beauty and the Bestie,2015,"Action, Comedy, Drama","For an important case, a policeman needs the help of his former best friend to impersonate the daughter of a foreign dignitary in a beauty pageant.",movie
The Legal Wife,2014,"Drama, Family, Romance","Monica (Angel Locsin) grew up with a little manifestation of love from her father and two brothers. She will then realize her real worth when she meets Adrian (Jericho Rosales). However, Monica and Adrian's marriage is challenged as Adrian and Nicole's (Maja Salvador) paths continue to cross, igniting a fire that will drive Monica to fight for her right as the legal wife.Written byiWantv",tv series
Future Hunters,1988,"Action, Adventure, Sci-Fi","2025 A.D. A lone adventurer searches the post-nuclear wasteland for the most devastating, godless artifact in history. When he touches it, he is transported back in time to 1989 Los Angeles. Mortally wounded he requests a young couple to return the spear to its sheath and end its reign of evil.Written byJoe Conner",movie
Walang hanggan,2012,"Action, Crime, Drama","Cruz sisters Virginia (Susan Roces) and Margaret (Helen Gamboa) vie for the love of Joseph Montenegro (Eddie Garcia) in the fictional province of Olivarez. Virginia had to sacrifice everything to let Margaret live a better life with Joseph. Around two decades later, Margaret and Joseph's son Marco (Richard Gomez) develops feelings for Emily Cardenas (Dawn Zulueta), a daughter of a worker in their plantation. However, numerous circumstances and Margaret's haughtiness towards Emily prompts Marco to marry rich banker Jane Bonifacio (Rita Avila) much to Emily's detriment. It fuels the Virginia-Margaret rivalry more, especially when Marco migrates to the US after Emily shuns him when he tries to explain.Meanwhile, laborer William Alcantara (Joel Torre) settle in Olivarez with his children Katerina (Julia Montes) and Tomas (Joem Bascon). He adopts a streetboy named Daniel (Coco Martin) while working at the Cruz family business, where Virginia assumes a role as his adoptive grandmother. ...",tv series
The Rich Man's Daughter,2015,Drama,"Jade comes from a wealthy family dedicated to their traditions and she's ready to marry the handsome David. But everything changes in her life when she meets the attractive lesbian and wedding coordinator , Althea. A strong bond between the two women emerges, that will test Jade's commitment to her conservative family and their values.Written byMasterofQuest 1389",tv series
"Isang tanong, isang sagot",1997,"Comedy, Drama, Romance","Rizelle (Donna Cruz) is a young beautiful woman who decides to work as a house helper during summer to earn extra money and to act as a substitute to her mother who is ill. Together with a friend, she is assigned to work for Eric (Jason Everly), the bratty son of an American businessman who just hates to be in the Philippines. In spite of his arrogant ways, the pretty servant falls in love with her master. Surprised at the turn of events, he tried to hide his feelings by being unkind to the girl.",movie
The Escort,2016,Comedy,"Guy Carter is an award-winning graduate student of architecture. He's got a beautiful wife and a baby on the way. The problem? He doesn't have ""his ducks in a row,"" which only fuels his doubts about being a good father. Guy has been trying to find work in his field for a year with no luck. At wit's end, his wife Anne finds him a job as a 'driver' on Craigslist. Guy shows up for the interview thinking he'll be delivering pizzas, but quickly realizes it's a job driving prostitutes. With money too scarce to turn down, he goes for it- which is where he meets Nikki, the tough-as-nails, unapologetic sex worker, and her two hilarious and foul-mouthed cohorts, Jaxi and Fallon. As reluctant driver and protector Guy is thrust into a world of rockin' women and feeble men. Over the course of one wild and sordid night, and several 'come-to-Jesus' moments, Guy proves to Nikki, and himself, that he does have what it takes to be the responsible father his family deserves.Written byCinedigm",movie
Bagani,2018,"Drama, Fantasy, Romance","Bagani revolves around the struggle and conflict of five groups: Taga-Patag (farmers), Taga-Kalakal (traders), Taga-Laot (fishermen), Taga-Gubat (hunters) and Taga-Disyerto (warriors) in a fantasy world called Sansinukob.",tv series
Palitan,2012,Drama,,movie
Double Barrel,2017,Action,A young impoverished couple work as hired killers.,movie
Xerex,2003,"Drama, Romance, Thriller","After 15 years of unprecedented tabloid sex notoriety, the Xerex Xaviera fantasy achieves big screen fulfillment via three exciting escapades into sensual. ""Kama"" tells of a teenaged girl's intimate dalliances with a campus hearthrob who turns out to be a heel. ""O"" follows a bride-to-be's lusty rollercoaster ride that takes her to an orgasmic bore, and her newfound toyboy, a beach lifeguad who's only saving grace is his bedside acrobatics. While ""Butas"" explores the dark, seedy voyeuristic world of illicit sex.Written byledster",movie
Four Sisters Before the Wedding,2020,"Comedy, Drama","After discovering their parents' marriage is on the brink of ending, the Salazar siblings scheme to bring them back together in time for their 20th anniversary in a prequel to ""Four Sisters and a Wedding.""",movie
"Largado, ibabalik kita sa pinanggalingan mo!",1999,Action,,movie
Laman,2002,"Thriller, Drama",,movie
Bagman,2019,"Crime, Drama, Thriller","Benjo is a simple barber in an unnamed town. When his barber shop becomes a casualty of the local government's road widening project, Benjo has had enough of being helpless and at the mercy of the powers that be. Sick of being an inconsequential cog in an unbeatable and corrupt system, Benjo becomes a barber for the governor, but in reality serves as his ""bagman""-a wheeling, dealing agent that handles all sorts of corrupt and illegal transactions for his boss. As he jumps from one transaction after the other, he gets entangled in a dangerous web of crime, corruption and double crossing in every political and societal institution that he gets into. And as he is sucked into this intoxicating and deadly game of lies, deceit and power struggle, he decides that he must move out of the shadows, use his acquired skill set, and conquer the ladder of power.Written byiWant",tv series
Deadline: The Reign of Impunity,2011,Drama,"Ross Rivera is a writer whose cynicism has converted him into a government apologist, is suddenly forced to reassess his role as journalist when he finds himself right in the middle of unearthing a conspiracy linking Muntazir Ghazi, a local warlord, with election fraud and the sporadic killing of journalists in various parts of the country. While Ross wrestles with the his conscience and attempts to convince Gerta Manarang, television newscaster and grieving girlfriend of a recently murdered journalist, of his newfound integrity in Manila, Azad and Claire, local journalists who are keep into the tracks of Ghazi, are hunted down by Ghazi's henchmen. Their stories eventually intertwine, reveading a more frustrated than concerned outlock of the state of free speech in a country that supposedly fosters democracy.",movie
Woke Up Like This,2017,Comedy,"A story about Nando who's a dutiful son and breadwinner to his family and Sabrina a rich kid and one of the top models in the country. While both prepare for their biggest breaks, these two strangers wake up one day in an extraordinary circumstance switching bodies with each other.Written byracer-man",movie
Encantadia,2005,"Action, Adventure, Drama","Pirena, Amihan, Alena and Danaya, the four princesses of Lireo vie for the title of Queen. When The Queen doesn't acknowledge Pirena's victory over the crown, she goes to the Hathors, the enemy kingdom and danger stirs over Encantadia.",tv series
The General's Daughter,2019,"Action, Drama",,tv series
Love Thy Woman,2020,"Drama, Romance","Love thy woman tells the story of a Filipino-Chinese family the Wongs and how their lives become intertwined with the Liangs and Estrellas through scandals, rivalry and romance. The telesyre begins with Dana wong (Yam Conception)the manipulative spoilt brat and daughter of Atty. Adam Wong getting married to David Chao(Xian Lim) but they got into an accident after the wedding leaving David injured and Dana comatose. During the David's time in the hospital he was assisted by Dana's stepsister the bubbly and strong headed Jia Wong (Kim Chiu) in taking care of her, but Jia started to develop feelings for her brother in law. One way or the other Dana discovered the secret and developed strong hatred towards her sister. As if the daughters fighting wasn't enough, both mothers Kai Estrella ( Sunshine Cruz) the second wife of Adam Wong and Lucy Wong ( Eula Valdez) the first wife were in a heated battle for love from Adam Wong and power over each other. The situation becomes even more ...Written bySahr Saffa",tv series
Unlocked,2020,Drama,"Anthology of nine different episodes dealing with gay and lesbian relationships during the lock-down in Manila. Each episode tackles a different queer story, cast and genre but they all shared the same context: how the COVID-19 pandemic has altered the already difficult lives of the LGBTQ+ community in the Philippines.Written byGagaOOLala",tv series
Nag-aapoy na laman,2000,Drama,"A powerful tale of love, desire, and destruction as two men try to reclaim the woman of their dreams. Philippines Filipino Tagalog movie.",movie
Selda,2007,"Drama, Romance","Set in two contrasting environments that undeline the same premise of imprisonment, Selda tells the story of Rommel (Sid Lucero), a young man who accidentally kills a boy, resulting in his incarceration. Inside the jail, he befriends another inmate, Esteban (Emilio), who becomes his rock and protector. Seven years later, Rommel is living in the province as a farmer together with Sita (Ara Mina) his wife. Esteban tracks down Rommel in hopes of renewing a brewing love affair. Rommel and Sita welcome Esteban into their lives, until their intimacy crosses borderlines and results in the undeniable scourge of self-discovery.",movie
Unloving U,2021,"Comedy, Drama, Romance","Fiona's true feelings towards her stepbrother Alfie is her most guarded secret. Her love remains undeclared even after their parents separated. Meeting again after three years, she discovers that her feelings towards him never waned and are stronger than ever. However, it gets more complicated with their feuding parents, a girlfriend, and band problems that are getting into the mix of emotions that is about to explode into a sweet symphony of love.Written byiWantTFC",tv mini series
A Love Story,2007,"Drama, Romance","What if you met the woman you wanted to make your wife after you married someone else? Ian Montes is a picture of success. Despite being a son of a shipping tycoon, Ian refused to just ride in his father's empire. He built his own real estate company and earned his first million at a very young age. He never looked back since then. Driven by his ambition to become better, if not as good as his father, Ian managed to make it on his own. But behind all the glory is a man yearning for love and recognition. Wounded from the abandonment of their mother when he was 17 and desperate for his father's approval, Ian longed for someone who can and will love him unconditionally. And he felt this twice when he met two women who would change his life forever - Joanna and Karyn. Joanna Villanueva is a picture of quiet confidence and success. Healing from a heartbreak caused by an errant ex-husband, Joanna found love again when she rescued Ian from a water-skiing accident in La Union. Being a doctor,...Written byAnonymous",movie
Vampire Hookers,1978,"Comedy, Horror",Carradine is an aged vampire who has a bevy of vampiric beauties who lure many of their customers back to his lair. A pair of virile young Navy sailors get mixed up in their shenanigans.,movie
Curacha ang babaeng walang pahinga,1998,Drama,"A story about a torera (a live sex performer) who finds herself trapped in an anomalous game of association between sex, life and death, and its political equivalent of sleaze, subservicence and power in drug-addled world. Every night, she sets off to join her fellow toreras for a midnight show of fun and kitschy live sex act. In one tuning point of her life, she bumps into a long-lost friend, Myrna, a former torera, who seems to have a lost grip on life. Curacha makes it her personal mission to save Myrna as she does some sou-searching herself. In the end, we see traces of hope glimmering somewhere, somehow, in a manner that escapes the restless Curacha.Written byledster",movie
"Girl, boy, bakla, tomboy",2013,Comedy,The quadruplets are united again when one of them needs a liver transplant but resentment due to their separation threatens their reunion.,movie
Serbis,2008,"Drama, Romance","A drama that follows the travails of the Pineda family in the Filipino city of Angeles. Bigamy, unwanted pregnancy, possible incest and bothersome skin irritations are all part of their daily challenges, but the real ""star"" of the show is an enormous, dilapidated movie theater that doubles as family business and living space. At one time a prestige establishment, the theater now runs porn double bills and serves as a meeting ground for hustlers of every conceivable persuasion. The film captures the sordid, fetid atmosphere, interweaving various family subplots with the comings and goings of customers, thieves and even a runaway goat while enveloping the viewer in a maelstrom of sound, noise and continuous motion.Written byRegent Releasing",movie
Do Re Mi,1996,"Comedy, Drama, Music","Attempting to save their group's singing career, Reggie Mendoza (Regine Velasquez), a self-confessed grandma's girl, and Mikki Tolentino (Mikee Cojuangco), a misandrist tomboy and a toast of her family, discover Donnette Legaspi (Donna Cruz), a vainglorious spoiled brat coming from a rich family, while singing in a restroom, to be part of their musical trio, DoReMi. Despite their drastic differences in both their personalities, lifestyle and principles, their shared love for music allowed them to consider pursuing a music career in Japan only to find out at the immigration office of a local airport that a fly-by-night placement or recruitment agency had falsified their documents and faked their passports. Due to this mishap and fear of humiliation and concern of their families, the girls travel to a laid back province, putting themselves in a self-imposed exile after the embarrassment they faced after chasing their dreams. While still considering the idea of becoming successful in ...Written byBoots Guy",movie
Ulan,2019,"Drama, Fantasy, Mystery","Maya (Lustre) is a girl who has always held a pessimistic view of the rain, reminding her of failed love and other depressing things. Will the rain ever stop her in her journey to overcome past heartaches?",movie
The Hot Box,1972,"Action, Adventure, Drama","Hot action and lust in the steamy tropical jungle, as heroines break out of a women's prison and start a local revolution.Written byConcorde - New Horizons (with permission).",movie
Diary ng panget,2014,"Comedy, Drama, Romance","A poor, self-described ugly girl takes a job as a personal maid for a rich, handsome young man. The two don't get along, but as they get tangled in their classmates' games of affection, their relationship becomes more complicated.",movie
Home Along da Riles da Movie,1993,"Comedy, Family","Kevin Cosme and his family becomes the target of a crime mob headed by a corrupt governor when one of his sons, Baldo, who while playing with his new dog, was unknowingly passed an incriminating cassette audio tape by an escaping gang member before being executed by his gang mates.",movie
Syota ng bayan,2001,"Drama, Romance","Syota ng Bayan is Tanya Marquez (Priscilla Almeda), a starlet who quits showbiz and goes back to her hometown. Upon knowing that a cement factory is causing a lot of havoc in the environment and in the lives of her town mates, she challenges the incumbent of Mayor Golano (Eddie Garcia) to have it closed. When denied, Tanya rallies the people in protest but is silenced. The mayor's opponents prevail upon Tanya's to run for mayor in the coming elections against Golano's son, Peter Lee (Tonton Gutierrez). During the campaign period Tanya and Peter Lee meet and fall in love.Written byledster",movie
