Title,Director,Year,Plot,Genre
Eto Na Naman Ako,Ike Jarlego Jr.,2000.0,"Abet Razalo and Ana Maria Gomez were childhood sweethearts. They find each other again, only this time they have to deal with each other on a professional level - Abet is now Anas bodyguard, and he is tasked to watch over her, now a phenomenally successful singer-actress because she is threatened by an obsessed fan. Abet also learns of Anas engagement to Vince Madrigal, a handsome billionaire. As the situation turns more complicated, the two of them are obliged to spend more time with each other, tempting them to rekindle their old flame. But Abet finds out that Ana is no longer the simple girl he promised marriage to ten years ago. Will love be lovelier the second time around for Ana and Abet or will Ana be spending the rest of her life.::Anonymous","Action, Romance"
Ex-Con,Toto Natividad,2000.0,,Action
Fidel Jimenez: Magkasubukan Tayo,Tata Esteban,2000.0,,"Action, Drama"
Ika-13 Kapitulo,Michael de Mesa,2000.0,,Horror
Ipinanganak na ang Taong Papatay Sa Iyo,Ronald Gan Ledesma,2000.0,,Action
Juan & Ted: Wanted,Al Tantay,2000.0,"Fugitives Juan and Ted have tried to mend their ways after they bolted jail to escape execution from the hands of Hepe and Langku.They found work as school bus driver and conductor. They developed special bond with their bus riders who have problems of their own.One day they went out of town to ease their worries. But the parents of the children panicked and called up the school administrators.And just when they least expected, Hepe and Langku showed up to reveal their true identities.::ledster","Comedy, Action"
Kailangan Ko'y Ikaw,Joyce Bernal,2000.0,"Francine (Regine Velasquez) is starting to feel the toll of stardom. Her popularity and hectic schedule hinders her from enjoying a normal life. Meanwhile, because he felt cheated of his prize in a ""Date with a Star"" promo where he supposedly won a date with her, Gimo (Robin Padilla) kidnaps Francine. Being the candid person that he is, Gimo allows the singing sensation to take pleasure in living life's simple pleasures - which Francine later realizes she's been missing. But is Francine willing to give up her career? Not just to go back to ordinary life but also to live it with the special man who addresses her complexities.::fab-one","Comedy, Musical, Romance"
Kahit Isang Saglit,Gilbert Perez,2000.0,,"Romance, Drama"
Laro Sa Baga,Chito S. Roño,2000.0,Two young people falling in love while exploring the politics of sexual awakening and social relations leading to a complex web of deceit and understanding.::fab-one,Drama
Madame X,Jose Carreon,2000.0,,Drama
Mana Mana-Tiba Tiba,Al Tantay,2000.0,"Don Segundo concedes he's been a scoundrel all his life that he is expecting no one to attend his wake. His last will and testament therefore states that he will give P100 million pesos each to the first two people who will sign the official guest book in his wake. A scheme goes wrong and Don Segundo's legitimate heirs Bogart, Julius and Menchie end up signing in at numbers 3 and 4. Two strangers Wilson and Uging end up signing the official guest book first. Wilson is an industrious fellow who does different odd jobs for a living. Uging is the son of a native chieftain who needs money to pay off a land grabber for their ancestral lands. But the P100 million inheritance is subject to the completion of three conditions: (1). That the heirs find Don Segundo's ex-lover Marita whom he left pregnant. (2) That the heirs reopen a club the Don used to run and get its former employees. (3) The third is to restore the Don's ancestral home in Batangas for his child with Marita. In the event that the original heirs cannot fulfill the above conditions, the third and fourth people who signed in the guest book will have the opportunity and the inheritance. The work is cut out not only for Wilson and Uging but for Bogart, Julius and Menchie as well. The heroes will try their best to fulfill the Don's wishes while the villains will try their best to prevent it.::fab-one",Comedy
Markova: Comfort Gay,Gil Portes,2000.0,"Gil M Portes (Miguel/Michelle, 1999) tells the unconventional true story of Walter Dempster, Jr, otherwise known as Markova. After watching a documentary about the suffering of women forced into prostitution during the Japanese occupation of the Philippines, Markova decides to tell his own painful story to reporter Loren Legarda. Escaping the torment of growing up with an abusive older brother, he and his friends found further suffering at the hands of Japanese soldiers, forced into sex work to survive. But even after the war, Markova's struggle continued.::Anonymous","Biography, Drama, History, War"
Matalino Man ang Matsing Naiisahan Din!,Jun Aristorenas Jr.,2000.0,,"Action, Comedy"
Minsan Ko Lang Sasabihin,Danilo Cabreira,2000.0,,"Action, Comedy, Romance"
Minsan Minahal Kita,,2000.0,"Experiening problems in their marriages, two people (Sharon Cuneta, Richard Gomez) unexpectedly meet and fall and love.","Drama, Romance"
Most Wanted,Uro Q. Dela Cruz,2000.0,,"Action, Crime"
Palaban,,2000.0,,"Action, Drama"
Pasasabugin Ko ang Mundo Mo,Baldo Marro,2000.0,,Action
Patigasan,,2000.0,,Action
"Pedro Penduko, Episode II: The Return of the Comeback",Erik Matti,2000.0,,"Action, Adventure, Comedy, Fantasy"
Pedrong Palad,Nick Deocampo,2000.0,,"Adventure, Drama, Fantasy"
Pera o bayong (Not da TV)!,Edgar Mortiz,2000.0,,Comedy
Ping Lacson: Super Cop,Toto Natividad,2000.0,,"Action, Biography"
Sagot Kita: Mula Ulo Hanggang Paa,Felix Dalay,2000.0,,"Action, Comedy, Romance"
Saranggani,Edgar Vinarao,2000.0,,Drama
Spirit Warriors,Chito S. Roño,2000.0,"A bunch of high school chums get themselves deep into the ghost-hunting thing. They met the supernatural, the Ulanaya, a spirit that takes many forms. Malevolent but only after going through years of exposure to the evils perpetrated by humans. This is what the Ulanaya acquires after absorbing all the negative thoughts, acts and deeds of humans it has come across with through the years. In the process, the Ulanaya then musters the ability to take many forms such as the wind, fire, water, earth and others making it the ultimate elemental and its malevolence, most potent. A force to reckon with especially on the gang of amateur ghost hunters, the Spirit Warriors do battle against this behemoth of an elemental, the Ulanaya.::regal","Action, Fantasy, Horror, Thriller"
Sugatang Puso,Jose Javier Reyes,2000.0,"This drama centers around the bitterness of loss and gnawing resentment. Noel and his second wife Gina are forced to take in his son from a previous marriage, Eric. Eric seems to perennially take on the role of the rotten kid. The reckless Eric and the dutiful and talented Sonny (Gina's son) get involved in a car accident, afterwards life drastically changes. Philippines Filipino Tagalog movie.",Drama
Sugo ng Tondo,Jose Balagtas,2000.0,,Action
Tanging Yaman,,2000.0,The decision of three siblings to sell their ailing mother's property causes deeply burried resentment to resurface as each of them also faces difficulties within their own families.::BuddyBoy60,"Drama, Family"
Tunay na Tunay: Gets Mo? Gets Ko!,,2000.0,"For years, mob boss Don Julio (Efren Reyes Jr.) has been the target of police investigation, led by honest cop Col. Alano (Gammy Viray). Quite a number of police deep penetration agents (DPA's) have been placed into Don Julio's organization. But somehow, Don Julio manages to find and kill them. Except for one. With the suspicion that an insider from their ranks have been tipping Don Julio of the DPA's identities, Col. Alano sends in agent Nick Abeleda (a.k.a. Abner) (Robin Padilla) without the knowledge of his superiors. Nick manages to hide his real identity, until the day of Don Julio and his men are captured except Kaliwete (Dindo Arroyo), his right-hand man. With Don Julio's syndicate destroyed, Nick is now ready to go back to the regular Police Force.::ledster","Action, Comedy, Romance"
Aagos ang dugo,,2001.0,,Action
Abakada... Ina,,2001.0,"Abakada ina is a film dedicated to all women who strive to be the best for their children. It is about an illiterate woman named Estella who married Daniel and had three beautiful daughters. Since Estella had stopped studying when she was still a child, she always had an argue with her mother-in-law named Matilda. Matilda loves her grandchildren very much that she didn't want them to become illiterate like their mother. Matilda taught everything she knew to Estella's children. She tried to be a mother to them. Matilda wanted to raise them the way she raised her children, Daniel and Jojo. Because of this, Estella felt that she doesn't have a place in them, that she cannot do anything but to sell in the market. Daniel came back home from his work on the ship and he tried to live with his family away from his mother. It was a very tough decision for them but they did it because they believe that they could fulfill their dreams in a place far from where they grew up. Unfortunately, many bad things had happened so they decided again to go back to Matilda though Estella knew that she would be hurt again by her. Daniel and Estella broke up and they both struggle to make their family get back again. Estella studied again and Daniel chose to pursue the course he really wanted. They wrote letters to each other and promised to one another that no matter what happen, the ""Daniel and Estella"" they knew would be together and love each other with all their hearts all over again.::Alduke Huang",Drama
Alas Dose,Augusto Salvador,2001.0,,"Action, Drama"
Bagong Buwan,Marilou Diaz-Abaya,2001.0,"A Muslim doctor returns to his home land where the Philippine military is at war against the MILF While he endeavors to lead his family and other civilians to safety, he struggles to reconcile his professional and religious principles.::BuddyBoy60","Action, Drama, War"
Bakit Di Totohanin,,2001.0,"When Katong's mother loses the family's boxing gym in a gambling bet, Katong (Judy Ann Santos) is poised to get it back by fighting in a boxing with the very man who won the bet. With no training at all, Katong recruits her ex-boyfriend, Paul (Piolo Pascual), because he's the best boxing trainer who might help her get her family business back. ""Bakit 'Di Totohanin"" is a Star Cinema film.","Comedy, Drama, Family, Romance"
Balahibong Pusa,Yam Laranas,2001.0,"Sarah (Joyce) is not happy about the idea of her mother Vivian (Elizabeth) getting married to Michael (Julio Diaz). But when she confronts her and Vivian describes how happy she is, Sarah eventually gives her consent. Sarah is hesitant about Michael though. She feels that Michael desires her but is helpless because he has Vivian's trust that Vivian even goes out of her way to the two comfortable with each other. All these Sarah confides to her ' friend' Nick (Jay Manalo) with whom she has a relationship which her mother disapproves of. Ironic but Nick also happens to be a mechanic at Michael's shop and is at the same seeing Becky (Rica). What Michael witnesses one fateful night turns out to be a revelation which eventually decides their fate::ledster","Crime, Romance, Thriller, Drama"
Bahay ni Lola,Uro Q. Dela Cruz,2001.0,"A vacationing family travels to their remote ancestral home to celebrate Christmas, but when they begin to quarrel among themselves, opportunistic demons seize the chance to infiltrate the clan. It's up to the guardian spirit of the family's grandmother to save her feuding family from the terrorizing sinister forces. Philippines Tagalog movie.","Comedy, Horror, Thriller"
Banyo Queen,,2001.0,"Angelie (Rica Peralejo) comes from a family of sorcerers. As a tradition, everyone should have a virgin sacrifice before their 18th birthday to escape the curse. With the help of her aunt Chada (Mystica), she hunts a virgin to stay alive.","Comedy, Horror"
Basagan ng Mukha,Jose Balagtas,2001.0,,Action
Booba,,2001.0,Rufa Mae Quinto stars in this comedy as Booba as she endeavors in the metropolis or city to fulfill her promise to her dying mother that she will find her jealous and insecure sister who ran away from home.,Comedy
"Bukas, Babaha ng Dugo",Baldo Marro,2001.0,,"Action, Crime, Drama, Thriller"
Cool Dudes 24/7,Ruel S. Bayani,2001.0,This movie is so very great but i've forgot the names of the actor/actresses in the movie so i hope i can watch this again please,"Adventure, Comedy"
Di Kita Ma-Reach,Wilfredo Milan,2001.0,,"Action, Comedy, Drama, Romance"
Dos Ekis,,2001.0,"Benito, who works at a hardware store frequents a nightclub for a dancer, Charisse, who he admires from afar. Both go on the run after Charisse steals money belonging to a mob boss, Dodi.::BuddyBoy60","Crime, Romance, Thriller"
"Dugong Aso: Mabuting Kaibigan, Masamang Kaaway",,2001.0,,Action
Hostage,,2001.0,,
Hubog,Joel Lamangan,2001.0,"Vanessa is a cosmetics consultant who is forced to care for her troubled and mentally challenged sister after their mother's death. Her hustler boyfriend, Olivier, seems unreliable and Vanessa soon abandons him for Uno, a liberal and caring substitute. But Uno isn't exactly as he seems. Set during the reign of Joseph Estrada in the Philippines, the film offers up a society in hellish microcosm.::Anonymous","Crime, Drama"
Huwag kang kikibo,Gil Portes,2001.0,,"Drama, Thriller"
Kaaway Hanggang Hukay,Joey Del Rosario,2001.0,,"Action, Drama"
Kapag Buhay Ang Inutang... Buhay Din Ang Kabayaran,Manuel Cinco,2001.0,,Action
La Vida Rosa,,2001.0,Rosa and Dado work as con artists that involve different criminal activities under the supervision of their boss.,"Crime, Drama, Romance"
Mananabas,,2001.0,,"Action, Thriller, War, Horror"
Mano Mano 2: Ubusan ng Lakas,,2001.0,,Action
Mila,,2001.0,The film was based on the life story of Anita Pamintuan who died during her fight for proper wages and compensation for public school-teachers in the Philippines.::Ati atihan - Mother of All Philippine Festivals,Drama
Narinig Mo Na Ba Ang L8est?,,2001.0,"Popoy (Aga Mulach) is a handsome and eligible bachelor, but instead of the usual macho activities a guy of this day and age would indulge in, Popoy is more interested in culinary pursuits and better-living breakthroughs. He dresses himself neatly, he sweats perfume, he respects the female species in a way that he refuses to see them as sex objects, and he lives with his grandmother. People around him deem him gay. Gina (Joyce Jimenez), on the other hand, looks like the typical bimbo, whose appeal lies mainly on the bulk between her shoulders and waist. Her reputation among men precedes anything she may have to prove about herself. Both knew that the other exists, but not worth pursuing amid piles of work and not to mention their unfavorable first impressions of each other. But when it comes to the pursuit of a 400 million account, no personal difference matters. Popoy and Gina have no choice but to team-up and help their agency create a winning pitch. In no time, they discover and fall for the real person behind the cloud of labels affixed on the other. But before anyone realizes and expresses how he/she truly feels, peer pressure caused Popoy to betray Gina. He has been eyed for a promotion yet rumors about his sexual orientation prove to be a hindrance. His friends press-ganged on him to validate his manhood by saying that he has slept with Gina. Gina doubts their friendship and Popoy's sincerity. Popoy might have been like any other guy after all. It breaks Gina's heart to learn that what might have been the one true thing in this cynical world could also turn out to be a sham. Popoy, in all his guilt, decides to give up that world in which he thrived and survived. Gina finds out Popoy's sacrifice, thus she runs back into his arms. They both realize that happiness lies on the love they have for each and not on the luster of the image they chose to project nor on their professional achievement.","Romance, Comedy"
Oops... Teka Lang... Diskarte Ko To,,2001.0,,"Action, Comedy, Drama, Romance"
Pagdating ng Panahon,,2001.0,"Lynette (Sharon Cuneta) is a conservative and religious lady who leads a boring life. So when she gets a marriage proposal from Manuel (Robin Padilla), whose family is known to be a brood of chauvinists, she was ecstatic.","Comedy, Drama, Romance"
Pangako Ikaw Lang,Joyce Bernal,2001.0,"The story revolves around Cristina (Regine Velasquez), a flower shop owner taking care of his sick father who falls in love with Vince (Aga Muhlach), a handsome young man who run their family's business and is about to marry his girlfriend but upon meeting Cristina, there is something about her that moves him although Vince is not really sure if Cristina is already the girl for him. After introducing the two main characters, the movie proceeds to the mandatory cheesy courting stage, followed by the dramatic stage that will have a tragic turn. The film official theme song ""Pangako"" (Promise) is one of the most cheesy, romantic love songs of recent years.::What's The Name","Romance, Drama"
Parehas ang Laban,William Mayo,2001.0,,Action
Radyo,,2001.0,A female DJ is stalked by a serial-killing listener.::amirmu,"Comedy, Thriller"
Red Diaries,Maryo J. de los Reyes,2001.0,Stories of three women: 1) A kept woman's love affairs with many men end up in a bizarre triangle of illicit romances; 2) A homecoming maiden crosses paths with a naive teenaged seminarian whose recurrent wet dreams have her as the central object; and 3) A battered wife ultimately learns to regain self-esteem and hatches a scheme against her violent husband. Philippines Filipino movie.,"Comedy, Drama, Romance"
Sanggano't Sanggago,Al Tantay,2001.0,,"Action, Comedy"
Susmaryosep: 4 Fathers,Edgardo Vinarao,2001.0,,"Comedy, Drama"
Tabi Tabi Po,"Jose Carreon (Vampira 2000), Tata Estaban (Engkantada), Joven Tan (Demonyita)",2001.0,,Horror
Tatarin,Tikoy Aguiluz,2001.0,The wealthy but unhappy couple Doña Lupe (Dina Bonnevie) and Don Paeng (Edu Manzano) yearns to have a child for the longest time and will do anything just to fulfill their wish. Lupe wants to participate in a ritual performed by women to invoke the gods to grant the blessing of fertility by dancing around a Balete tree that was already a century old.::Combat Boots Everyday,"Drama, Romance"
Yamashita: The Tiger's Treasure,,2001.0,"Aging Carmelo likes telling his grandson, Jobert about his youth in the Philippines. Jobert especially likes the stories about Carmelo's time in World War II, where he helped bury the legendary Yamashita treasure. When Carmelo is kidnapped, it is left to Jobert to go to Manila, using his grandfather's diary to find the treasure and save Carmelo before a Japanese crime boss steals the fortune.","Action, Drama, War"
9 Mornings,,2002.0,"It has been more than a decade since his girlfriend died in a starling accident, but Gene Ynfante (Piolo Pascual) still clearly remembers that fateful day and he is haunted by it. Flashforward to the present and Gene is nowhere near his former self.. Now, a non-believer, cynical and obsessive-compulsive events organizer, his life revolves around two things - sex and money. Tht is why it is no surprise that he is ecstatic in learning that he is going to inherit his late grandmother's wealth. There is a hitch, though. He must be able to complete all nine ""simbang gabi"" of Christmas. What Gene does not know is that he will find love in the most unlikely place. Elise (Donita Rose) is the compassionate pre-school teacher of an orphanage. Pristine and simple, she is also nursing from a broken heart. Her fiance of several years dumped her for no reason and she is devastated by it. Still hurting, she exerts her best efforts to love her students the most special of whom is frail but sprightly Sandy. Together, they conscientiously attend ""simbang gabi."" Then Elise meets Gene. Their first meeting was nothing extraordinary.::Anonymous",Romance
Agimat: Ang Anting-Anting ni Lolo,,2002.0,,"Action, Fantasy, Adventure, Family"
Ang Alamat ng Lawin,,2002.0,,"Action, Family, Fantasy, Adventure"
American Adobo,,2002.0,,Comedy
Bahid,,2002.0,,Drama
Batas ng Lansangan,,2002.0,"Army Major RUBEN MEDRANO was once a part of an elite anti-kidnapping task force. An unfortunate incident during an operation got him suspended and sent back to Manila. There he tries to renew ties with his daughter MARISSA who has been living with his dead wives sister MARIEL. Marissa refuses to recognize her father because of all his shortcomings in the past. Nevertheless, Ruben decides to remain in the area. He soon discovers the presence of drug pushers and decides to do something about them. The drug lord who controls these pushers hires a hit-man named CARLOS to hunt down Ruben for meddling in his affairs. Soon the small community turns into a war-zone a Ruben tries to defend himself and those close to him from the attacks of these gangsters.::regal","Action, Crime, Drama"
Dekada '70,,2002.0,A middle-class Filipino family struggles to survive in the era of dictatorship.::mail box,Drama
Diskarte,,2002.0,"An ex-marine used by police in a drug bust. He escapes a rub-out, and goes after the group who double-crossed him.::fab-one","Action, Drama"
D' Uragons,,2002.0,"Sherlock is a private detective who works for a family in the jewelry import business. Sherlock helps Orot, a street-smart fellow caught in a dilemma. Because of Orot, some jewelry is stolen and Orot vows to repay Sherlock for his kindness by helping him intercept the robbers. The two soon discover the syndicate behind the robbery and track them down, falling in love with two women in the process.","Action, Comedy"
Forevermore,,2002.0,,"Drama, Romance"
Gamitan,Quark Henares,2002.0,"Cathy, a young and innocent freshman, had a crush on senior hunk, Nick, the campus' basketball star. One day, he came to her and asked her to have dinner and drive her home. One thing led to another until she ended up giving her virginity not knowing that he made a bet with his friends. He dumped her right after he got what he wanted without any explanation. Filled with hatred she seduced Louie, her classmate who had a crush on her, to get back at him - and as a favor she would go to bed with him. Things got out of hand and led to a tragic ending.::fab-one","Action, Crime, Drama, Romance, Thriller"
Got 2 Believe,Olivia M. Lamasan,2002.0,"Tony (Claudine Barretto) is woman desperate to find love. She meets Lawrence (Rico Yan), a photographer, who offers her to help find the man of her dreams. Together, they will discover the real meaning of ""True Love"".::ailianat",Romance
Hula Mo...Huli Ko,Edgar Vinarao,2002.0,"Insp. Randy Tuazon (Rudy Fernandez) led the raid of the satanic cult who were responsible for killing virgin women. They thought they had already destroyed the cult when they killed its leader, Remo Torres. Several years later, panic strikes the quiet town when a priest is mysteriously killed. When Randy's search for the lead suspect results in vain, Paula (Ruffa Mae Quinto), a psychic, volunteers to help him. Randy shuns Paula when she predicts that apart from the religious officials, one of his friends will also be killed. Her predictions, however, come true prompting him to accept her offer to help. Together they must uncover the mystery behind the killings and bring back the peace in the town.::Anonymous","Action, Comedy"
Home Along da Riber,Eric Quizon,2002.0,"Rudolf (Dolphy) is imprisoned for a crime he did not commit. He attempted to escape many times but was unsuccessfull, he realizes that he is in for the long haul and decides that his wife Sandra (Zsa Zsa Padilla) should remarry for the sake of their children Melody (Jolina Magdangal) and Mark (Vandolph) who have been made to believe anyway that he is already dead. Many years has been passed he was informed that the real culprit has been caught and he is being released. However, instead of being happy, he is saddened by the fact that he cannot go back to his family anymore. Nevertheless he pretends to be a piano tuner so that he can visit his children.::ledster","Comedy, Drama, Musical"
I Think I'm in Love,,2002.0,"Jonas is known for being a rich playboy. He often buys perfume for his numerous girlfriends from Kaye, a beautiful and sexy saleslady who, fantasizes about Jonas. Jonas' elder brother, Andrew reprimands and challenges Jonas to establish a genuine friendship with any female for three months without sexual relations or else he will lose his Porsche. Philippines Tagalog movie.","Romance, Drama, Comedy"
"Jeannie, Bakit Ngayon Ka Lang?",Ike Jarlego Jr,2002.0,,"Comedy, Fantasy, Romance"
Jologs,Gilbert G. Perez,2002.0,"Jologs portrays the intersecting stories of various working-class people who are all tied to one coffee shop and are struggling to make ends meet in the Philippines. One mother supports her family as a dancer in Japan, one college student tries to forge a relationship with his wealthy father, and one security guards tries to be a good father to his girlfriend's baby. A Star Cinema film.","Comedy, Drama, Romance"
Kailangan Kita,Rory Quintos,2002.0,Carl went back to his hometown to get married but ended up falling for his bride's sister.::wainnagahnduh-98368,"Drama, Romance"
Kung Ikaw Ay Isang Panaginip,,2002.0,,"Drama, Family, Fantasy, Romance"
Laman,,2002.0,,"Thriller, Drama"
Lapu-Lapu,William Mayo,2002.0,"A semi-fictonal account about the life of Filipino hero Lapu-Lapu before, during, and after the fateful Battle of Mactan","Action, Biography, History, War"
Mahal kita: Final Answer!,Joyce Bernal,2002.0,Who wants to be a millionaire on the big screen::Anonymous,"Comedy, Family, Romance"
Mano Po,Joel Lamangan,2002.0,"During the Chinese Revolution in 1949, young Chinese copra trader named Fong-Huan marries Elisa, a young and pretty Filipina. The couples children, Daniel and Linda, were raised in a mixture of Chinese and Filipino-Hispanic tradition. These richly cultured people are the ancestors of a dysfunctional third-generation family whose daughters tell their own stories of joy, struggle, and the complex realities in the life of Filipino Chinese families.::regal",Drama
Magkapatid,,2002.0,,Drama
Masarap na Pugad,,2002.0,,"Drama, Romance"
Mga Batang Lansangan,,2002.0,,Drama
Mga Munting Tinig,Gil Portes,2002.0,"A young idealistic teacher enters her kids in a city choral competition. A victory there would not only gain funds for the school, but prove to these children of poverty how even they can afford to hope.",Drama
Pistolero,William G Mayo,2002.0,"In this action/horror movie, a gun-slinging vampire fights his bloodthirsty instincts while doing battle with the leader of a werewolf family.::werewolf-movies.com","Action, Comedy, Horror"
Singsing Ni Lola,Uro Q Dela Cruz,2002.0,,"Family, Fantasy, Horror, Thriller, Comedy"
Spirit Warriors: The Shortcut,Chito Rono,2002.0,,
S2pid Love,Al Tantay,2002.0,,
Super B,Joyce Bernal,2002.0,,
Tampisaw,,2002.0,,"Drama, Romance"
Videoke King,,2002.0,"Overseas worker Ning Ning makes two separate favors to her fiancé King and her cousin Lally. Despite their low tolerance for each others' idiosyncrasies, they grudgingly carry out Ning Ning's wishes. But somewhere in the course of the homebuilding project, King and Lally develop feelings for each other. What they do not know is that Ning Ning actually has plans that they cannot deter.::ledster","Action, Comedy, Drama, Romance"
Walang Iwanan... Peksman,Toto Natividad,2002.0,,"Comedy, Romance, Action"
A.B. Normal College (Todo na 'Yan! Kulang Pa 'Yun!),Al Tantay,2003.0,"Andres (Andrew E.), Dominic (Ogie Alcasid) and Miguel (Mikey Arroyo), the school's most notorious students, are challenged when the school participates in a quiz show to upgrade or elevate the image of the school.",Comedy
Ang Huling Birhen sa Lupa,,2003.0,"A priest, Father Emman (Jay Manalo) visits a small coastal town. Cion (Maui Taylor), a former nun who now teaches catechism in the island thinks that Father Emman is the priest she sent for but only to be disappointed to discover he is faithfully devoted to his vocation and the vow of celibacy.",Drama
Gagamboy,,2003.0,,Fantasy
Ang Tanging Ina,Wenn Deramas,2003.0,"The story evolves around the ups and downs of being a single mother, Ina (Ai-Ai delas Alas) the main protaganist. Her three husbands leave her with 12 children and a financial problems that she needs to shoulder. Simple plot with a hilarious cast. Packed with laughs and tear-jerker scenes with movie/commercial spoofs, surely Ang Tanging Ina will make your heart delight.::rovheel","Comedy, Drama"
Bayaran,,2003.0,"She is a paid lover. He is a paid killer. Rizza is a high class prostitute and the favorite girl of crime syndicate head. Jake is a speech impaired man and an expert marksman of the same crime syndicate. Jake is in love with her and when they finally meet, Rizza realizes she is falling for him too. But soon the same mob that they have been working for are chasing after them. They know the danger of being involved in this notorious group and the consequences of getting caught.::Bernardo74","Action, Drama"
Bugbog Sarado,Joel Lamangan,2003.0,Bugbong Sarado is a mystery drama revolving around two neighboring couples. In a twisted chain of events one man (Brandon) falls for the wrong woman (Stella) and ends up killing the man (Brix) who rightfully owns the woman he fell for.,"Drama, Mystery, Thriller"
Captain Barbell,Mac Alejandre,2003.0,"Another adaptation of Mars Ravelo's colorful superhero. Captain Barbell has the human form of Enteng. One day Enteng received a mysterious barbell given by a hermit after he saved his life. Not knowing that the barbell can give Enteng's alter-ego Captain Barbell, a hero for the poor and mistreated people. Also in the cast is Enteng's dream girl Cielo, an elementary music teacher who's in love to Captain Barbell. With Captain Barbell's arch-enemies Lagablab, Freezy and Dagampat. The movie tells about the bravery, respect and love.::Rovheel","Adventure, Comedy, Fantasy, Action"
Chavit,Carlo J. Caparas,2003.0,,Action
Cory Quirino Kidnap: The NBI Files,,2003.0,,"Action, Crime, Drama"
Crying Ladies,Mark Meily,2003.0,"A whimsical comedy about three women who cry at funerals, professionally.::Anonymous","Comedy, Drama"
Duda/Doubt,Crisaldo Pablo,2003.0,"After thousands of dates, Cris settled down, met Erik and found love. The two have been together for months now and their relationship is beginning to show signs of falling apart. Cris is constantly wondering over Erik's long work hours and time spent away from home. Doubt has entered their relationship.",Drama
Fantastic Man,,2003.0,"Fantastic Man is about Fredo (Vic Sotto), a naive and gawky laboratory assistant to Professor Manalo (Michael V.). Fredo is also the professor's regular guniea pig for his experiments which are often disastrous to any human being. Then one time a librarian, Helen (Ara Mina)who is frustrated super hero wanabe, tells both Fredo and Prof. Manalo about an article she read of an orb located in Intramuros that was said to give out powers to whoever posesses it. They all journeyed to Intramuros in search for the orb and found inside a dead alien's body. Because of Fredo's clumsiness, the orb got lost. But it actually went into Fredo's shirt pocket. He then absorbs all the powers when he accidentally touched the orb and he became Fantastic Man! With superpowers, transformations and quickness can Fantastic Man save his town in the hands of his arch-enemy Diabolica (Ara Mina) whose powers can absorb almost anything?::Rovheel Argel Laborera","Adventure, Action, Comedy, Fantasy"
