Title,Director,Year,Plot
"Ligo na Ü, Lapit na Me",Erick Salud,2011,"College senior Intoy ""Edgar Allan Guzman"" is unwittingly fallen into a friend-with-benefits situation with his mysterious classmate Jenny ""Mercedes Cabral"". Jenny has a reputation for being promiscuous,"
Manila Kingpin: The Asiong Salonga Story,Tikoy Aguiluz,2011,"Bio pic of notorious Manila gangster in the late 40's until his death in 1951 at the age of 26. A legend known to this day coming from Tondo, a town in Manila known during those peroid as tough and dangerous place."
My Househusband (Ikaw Na!),Jose Javier Reyes,2011,"A married man resigns from his job, leaving his wife to provide for his family. He now has to adapt to a new role: staying at home, taking care of the kids, and running the household."
My Neighbor's Wife,Jun Lana,2011,"This Filipino story is about two couples who are best friends and the emotional ups and downs they go through when faced with marital infidelity. In a nutshell, conflict ensues when Jasmine decides to break up with her husband Bullet because of his one night stand with Giselle, a mistake that also rips apart Giselle's marriage with Aaron. This story tackles what happens when couples break up."
My Valentine Girls,"Dominic Zapata, Andoy Ranay & Chris Martinez",2011,"A novelist is searching for a girlfriend as he writes his next book, a trilogy of love stories (Soulmates, BFF, and Gunaw). His little sister and pseudo cupid adds cuteness and light banter. Philippines Filipino movie."
No Other Woman,Ruel S. Bayani,2011,"Furniture supplier Ram (Derek Ramsay) is happily married to Charmaine (Cristine Reyes). One day, Ram lands a big client, a new luxury resort. But he needs the help of Kara (Anne Curtis), the daughter of the owner of the resort, to finalize the deal. Kara's help, however, comes with a price, because she fancies Ram to be her lover. Not before long, Kara successfully seduces Ram, even though she knows about his marriage. When Charmaine learns of the affair, she finds ways to fight for her husband's waning attention.::ledster"
Pak! Pak! My Dr. Kwak!,Tony Y. Reyes,2011,"An angel is sent to Earth to convince a conman healer to change his way, only to have the conman take advantage of his angelic healing powers. The conman's road to salvation lies in reconciling with one his victims, and the angel has to find a way to get them together."
The Unkabogable Praybeyt Benjamin,Wenn V. Deramas,2011,A gay man tries to prove himself by joining the military.::Gremar John Tazarte
Rakenrol,Quark Henares,2011,"Odie and his best friend Irene are two outsiders who find a second home in the Philippine underground music scene. The two decide to form a band and put together an unlikely crew that consists of the school bully, an ex-punk-turned-barista, and a former-childstar-turned-band-manager. The film follows their misadventures as they face satanic S&M bands, samurai swindlers, narcissistic rockstars, the pretentious Philippine art community and the freakiest music video auteur ever. Co-written by Diego Castillo, the guitarist of one of the Philippines' biggest rock bands SANDWICH, and directed by multi-awarded music video director Quark Henares, Rakenrol is a heartfelt ode to the underground scene both filmmakers spent their formative years in.::Anonymous"
The Road,Yam Laranas,2011,A 12 year old cold case is reopened when three teens are missing in an old abandoned road where a gruesome murder is left undiscovered for three decades.::Anonymous
Ang Sayaw ng Dalawang Kaliwang Paa,Alvin Yapan,2011,
Segunda Mano,Joyce Bernal,2011,"As the film begins, we see Owen (Rico Blanco) and Mariella (Angelica Panganiban) are fighting in a car by a lake. It appears that Owen has left his wife to be with Mariella, and is angry that Mariella is not willing to make the same sacrifice. The fight turns violent, and Owen has hit Mariella through the car window. Mariella tries to escape from the car, and the scene cuts to flashback.We see Mariella telling her husband, Ivan (Dingdong Dantes), that her best friend, Samantha needs company and she drives off into the night. Later that evening, their daughter Angel (Sofia Villarama) comes to Ivan looking for her mother, and Ivan tells Angel that her mother has gone away. There is a car that passes by in the area where a bloody Mariella is looking for help, in the middle of a rainstorm. The driver and his passenger are singing Christmas carols in the car, Mariella knows she is dead.::ledster"
"Shake, Rattle & Roll 13","Chris Martinez, Richard Somes, Jerrold Tarog",2011,"Three tales of terror. A malevolent storm drowns the city. A man brings his family to a remote family ranch, and soon encounters the supernatural. A group of witches brings terror to an unsuspecting populace."
Temptation Island,Chris Martinez,2011,"Four beauty pageant contestants, who are vying for the coveted title of ""Miss Manila Sunshine"", set sail on a yacht. They ended up stranded on a deserted island after their vessel got caught up on fire. Together with an attractive young man, a maid and the gay pageant director, the four ladies found life ""anything but dull"".::Anonymous"
Thelma,Paul Soriano,2011,"One struggle. One chance. One dream. The film tells the story of a tomboyish Ilocano lass from Ilocos Norte, Thelma whose family is beset with challenges when she discovers her uncanny gift.::Mitesh Patel"
Third World Happy,EJ Salcedo,2011,"Lew Marklin interviews, Actress and model, Cassandra Hepburn about life after her year and a half hiatus to contribute to humanitarian efforts in third world countries, including volunteer work in Haiti after the horrific earthquakes and natural disasters that ravaged the country . Hepburn talks about her roles in TV and Film and offers the viewer unique insight into her day to day life, what it takes to make it in entertainment,and all that she has seen that have made her own Iconic journey, a unique one.::Staff Producer - Angela Holladay"
Tum: My Pledge of Love,Robin Padilla,2011,
Tween Academy: Class of 2012,Mark Reyes,2011,"The story revolves around 3 best of friends. Kara, the cosplayer and online retailer. George the boyish football wannabe, Enzo, the Mr. Fix-It. With constant bullying from fellow classmates, they all set out to become popular in their school. In trying to do so, conflicts will rise as romance bloom between some of the Tweens.::Anonymous"
Tumbok,Topel Lee,2011,"A newlywed couple, Grace and Ronnie, inherit a condominium unit from Ronnie's deceased father. But, as they move into the unit, they are faced with a series of horrific mishaps and misfortunes."
Way Back Home,Jerry Lopez Sineneng,2011,"For 12 years, Jessica Santiagio (Julia Montes) has been dealing with the pain and guilt of losing her sister Joanna. Despite her efforts to please her mother Amy (Agot Isidro), Jessica knows that the emptiness in her mother's heart can only be filled by Joanna's return. Unbeknownst to the Santiagos, Joanna has lived to become Ana Bartolome (Kathryn Bernardo), the daughter of simple fisher folk (Lotlot De Leon). When Ana is finally found, she tries to reconnect with her family, especially with Jessica. But Ana's return worsens Jessica's feelings of abandonment. Jessica feels less loved by Amy while Ana feels like she has to win Jessica's approval. After growing tensions between the two sisters result in a competiton that endangers the life of one, the family is forced to confront the possibility of being torn apart again."
"Wedding Tayo, Wedding Hindi",Jose Javier Reyes,2011,"Two women are at very different stages of their love life. One is middle aged and looking for a way out of her marriage. The other is young, outgoing, and excited to get married to the love of her life. The two try to convince each other that their outlook is better, getting into all sorts of hijinks along the way."
Who's That Girl,Wenn V. Deramas,2011,"Elizabeth Pedroza (Curtis) has been crushing the hottest guy in her University, John Eduque Jr. (Manzano). She remained unnoticed because she happens to be just an ordinary girl who ordinarily adores the types of John, a hunky athletic popular honor student. But there's more to John than meets the eye and Elizabeth had known that and this distinct feature of him makes her love him even more. Through the years, Elizabeth strive and becomes the dream girl of every guy who walks in the planet, independent, beautiful, sophisticated, sweet and loving. No longer the ordinary college student she used to be. But Elizabeth still loves no other than John and keeps tons of pictures of him decorated in her new condominium. When she read a news about John Eduque being dead, she immediately assumed that it was John Eduque Jr. and not John's father. She goes to the funeral, all dressed in black matched with a black veil. She cried her lungs out in front of the casket saying the things she should have said only if John is still alive. When she finally noticed that she made a mistake seeing that the John she thought the dead was is stunned with all the people in the funeral, she run for her life with total embarrassment. Now that John and his vicious mother (Domingo) are on the look out for the mistress they believe Elizabeth was, what could happen to Elizabeth's long life dream of becoming John's one and only love?::Clarisse Sobiono www.facebook.com/bbvocz"
Won't Last A Day Without You,Raz Dela Torre,2011,"A female radio DJ who has a popular relationship advice show advises a caller to break up with her boyfriend. Much to the DJ's surprise, that boyfriend shows up at the station, asking for restitution. The DJ tries to help him win his girl back, but the two fall in love in the process."
"Yesterday, Today, Tomorrow",Jun Lana,2011,"This is a story of people and the secrets that tear them apart. It follows a surprising decision that family members make in the aftermath of a tragedy...life changing decisions that will either lead them to a future full of lasting happiness, or one full of despair. Philippines Filipino movie."
Zombadings 1: Patayin sa Shokot si Remington,Jade Castro,2011,"Remington is in love with Hannah but she finds him lazy and uncouth. Then he starts to change. Suddenly he is becoming neater, nicer, more sensitive. Is he doing it for her? Or is something beyond his control changing him into someone he is not? He discovers that his gradual transformation is tied to something he did long ago, to childhood transgressions and curses uttered in graveyards. Hannah falls for the new and improved Remington, but he starts falling for someone else. As the ghosts of Remington's past come to haunt him, so do the the Zombadings. Undead, fabulous, they threaten to rock this sleepy town to death.::Zombadings"
